Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
T Rowe Price Mid Cap Growth Fund,1.95%,735000,287598150,-262700,-26.33%,MKTX
Delaware Ivy Mid Cap Growth Fund,1.56%,587284,229798356,0,0.00%,MKTX
PRIMECAP Odyssey Aggressive Growt...,1.40%,526520,206022011,-6200,-1.16%,MKTX
GuardCap UCITS Funds Plc - Global...,1.31%,493943,193274956,10590,+2.19%,MKTX
Carillon Eagle Mid Cap Growth Fun...,1.13%,426545,166902793,225209,+111.86%,MKTX
Virtus KAR Small Cap Growth Fund,1.12%,419852,164283889,148367,+54.65%,MKTX
Vanguard US Growth Fund,1.10%,414867,162333308,0,0.00%,MKTX
Vanguard Total Stock Market Index...,3.12%,5270522,118428629,583229,+12.44%,LNC
Vanguard Small Cap Index Fund,2.62%,4429214,99524439,459745,+11.58%,LNC
Vanguard 500 Index Fund,2.12%,3590815,80685613,10920,+0.31%,LNC
Vanguard Small Cap Value Index Fu...,1.84%,3108625,69850804,307266,+10.97%,LNC
SPDR Portfolio S&P 500 High Divid...,1.72%,2902284,65214321,0,0.00%,LNC
Dodge & Cox Stock Fund,1.63%,2750880,61812274,0,0.00%,LNC
Invesco S&P 500 Equal Weight ETF,1.51%,2553006,57366045,-7194,-0.28%,LNC
Stichting Pensioenfonds ABP (Glob...,1.40%,2365695,53157167,-297782,-11.18%,LNC
Caisse de D�p�t & Placement du Qu...,1.35%,2285943,51365139,2231337,"+4,086.25%",LNC
Government Pension Fund - Global ...,1.18%,1998379,44903576,151912,+8.23%,LNC
Vanguard Total Stock Market Index...,3.09%,19474729,466614507,-68580,-0.35%,MRO
SPDR Series - Energy Select Secto...,2.94%,18516544,443656394,255232,+1.40%,MRO
Vanguard 500 Index Fund,2.36%,14826414,355240879,73852,+0.50%,MRO
Vanguard Mid Cap Index Fund,2.34%,14707179,352384009,-123776,-0.83%,MRO
Pacer Fds. Tr. - US Cash Cows 100...,1.53%,9633952,230829490,31428,+0.33%,MRO
Fidelity Low Priced Stock Fund,1.52%,9577281,229471653,-5822,-0.06%,MRO
Fidelity 500 Index Fund,1.11%,6961971,166808825,12657,+0.18%,MRO
SPDR S&P 500 ETF Trust,1.09%,6883724,164934027,19656,+0.29%,MRO
Vanguard Windsor Funds - Vanguard...,0.95%,6004187,143860321,-221900,-3.56%,MRO
iShares Core S&P 500 ETF,0.90%,5636517,135050947,758,+0.01%,MRO
Vanguard Total Stock Market Index...,3.03%,7727076,3652820637,-162022,-2.05%,LMT
Vanguard 500 Index Fund,2.01%,5129767,2424994754,-113843,-2.17%,LMT
American Funds Income Fund of Ame...,1.66%,4233700,2001397001,-90042,-2.08%,LMT
Schwab US Dividend Equity ETF,1.33%,3385861,1600598071,1855,+0.05%,LMT
Washington Mutual Investors Fund,1.17%,2977343,1407479356,-544400,-15.46%,LMT
Fidelity 500 Index Fund,1.00%,2556971,1208756901,4648,+0.18%,LMT
SPDR S&P 500 ETF Trust,0.97%,2466977,1166214037,7020,+0.29%,LMT
Vanguard Value Index Fund,0.90%,2283854,1079646301,-44236,-1.90%,LMT
iShares Core S&P 500 ETF,0.79%,2016616,953314882,272,+0.01%,LMT
Vanguard Dividend Growth Fund,0.71%,1823908,862216029,0,0.00%,LMT
Vanguard Total Stock Market Index...,2.79%,8584634,1425392629,-181096,-2.07%,MAR
Vanguard 500 Index Fund,2.04%,6281682,1043010479,30740,+0.49%,MAR
Invesco QQQ Trust,1.33%,4093867,679745677,13195,+0.32%,MAR
JPMorgan Large Cap Growth Fund,1.11%,3405404,565433280,372231,+12.27%,MAR
Fidelity 500 Index Fund,0.96%,2949575,489747433,5362,+0.18%,MAR
SPDR S&P 500 ETF Trust,0.95%,2916742,484295842,8320,+0.29%,MAR
iShares Core S&P 500 ETF,0.78%,2388006,396504516,322,+0.01%,MAR
Vanguard Growth Index Fund,0.77%,2361699,392136502,-68925,-2.84%,MAR
Government Pension Fund - Global ...,0.69%,2132379,354060209,-215556,-9.18%,MAR
Vanguard Institutional Index Fund,0.63%,1953707,324393510,-22124,-1.12%,MAR
Stichting Pensioenfonds ABP (Glob...,6.21%,8935399,933927903,1192699,+15.40%,LW
Vanguard Total Stock Market Index...,3.09%,4446216,464718496,16421,+0.37%,LW
Vanguard 500 Index Fund,2.34%,3358882,351070347,19752,+0.59%,LW
Touchstone Funds Group Trust - Mi...,1.76%,2532595,264706829,-35945,-1.40%,LW
Vanguard Small Cap Index Fund,1.31%,1881969,196703400,7965,+0.43%,LW
