Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Capital Research & Management Co....,0.85%,87556843,9043746313,-17493511,-16.65%,AMZN
"Northern Trust Investments, Inc.(...",0.82%,84028189,8679271642,-524804,-0.62%,AMZN
"JPMorgan Investment Management, I...",0.66%,67684168,6991097713,9450931,+16.23%,AMZN
"The Vanguard Group, Inc.",11.53%,30204426,2609360362,266342,+0.89%,AEE
"T. Rowe Price Associates, Inc. (I...",6.52%,17091049,1476495723,8513,+0.05%,AEE
BlackRock Fund Advisors,5.45%,14275239,1233237897,563817,+4.11%,AEE
"SSgA Funds Management, Inc.",5.36%,14041882,1213078186,-271692,-1.90%,AEE
T. Rowe Price Investment Manageme...,4.51%,11824707,1021536438,2200700,+22.87%,AEE
Columbia Management Investment Ad...,2.55%,6678127,576923392,303478,+4.76%,AEE
RREEF America LLC,2.28%,5969067,515667698,-295050,-4.71%,AEE
Geode Capital Management LLC,2.09%,5486503,473978994,96709,+1.79%,AEE
"JPMorgan Investment Management, I...",1.63%,4261553,368155564,-2029165,-32.26%,AEE
Pictet Asset Management SA,1.52%,3970285,342992921,-14915,-0.37%,AEE
"The Vanguard Group, Inc.",11.61%,69039832,5641935071,1074436,+1.58%,APH
Fidelity Management & Research Co...,8.53%,50700108,4143212826,576600,+1.15%,APH
BlackRock Fund Advisors,5.57%,33114314,2706101740,1018101,+3.17%,APH
"SSgA Funds Management, Inc.",4.07%,24212200,1978620984,-179574,-0.74%,APH
Walter Scott & Partners Ltd.,3.08%,18299834,1495462434,-1407384,-7.14%,APH
AllianceBernstein LP,2.78%,16549073,1352390246,-991519,-5.65%,APH
"T. Rowe Price Associates, Inc. (I...",2.47%,14676380,1199353774,95144,+0.65%,APH
Alecta Pension Insurance Mutual,2.28%,13563000,1108368360,0,0.00%,APH
Geode Capital Management LLC,2.02%,11985877,979485868,322723,+2.77%,APH
"JPMorgan Investment Management, I...",1.94%,11518031,941253493,750031,+6.97%,APH
"The Vanguard Group, Inc.",10.91%,71079650,1048424838,1123238,+1.61%,AAL
PRIMECAP Management Co.,5.85%,38098701,561955840,-856475,-2.20%,AAL
BlackRock Fund Advisors,4.68%,30490997,449742206,779577,+2.62%,AAL
"SSgA Funds Management, Inc.",3.16%,20586015,303643721,-70627,-0.34%,AAL
"US Global Investors, Inc. (Asset ...",2.57%,16743035,246959766,152873,+0.92%,AAL
Geode Capital Management LLC,2.13%,13865918,204522291,469371,+3.50%,AAL
"BofA Securities, Inc.",1.69%,10999533,162243112,10616607,"+2,772.50%",AAL
Two Sigma Advisers LP,1.64%,10655200,157164200,1852000,+21.04%,AAL
Invesco Capital Management LLC,1.49%,9678938,142764336,3269625,+51.01%,AAL
D. E. Shaw & Co. LP,1.49%,9675864,142718994,5460021,+129.51%,AAL
"The Vanguard Group, Inc.",9.24%,24318916,2694779082,-246114,-1.00%,ALL
BlackRock Fund Advisors,5.11%,13449577,1490347627,-91510,-0.68%,ALL
"SSgA Funds Management, Inc.",4.78%,12583153,1394339184,219446,+1.77%,ALL
Charles Schwab Investment Managem...,2.25%,5928406,656926669,463281,+8.48%,ALL
Geode Capital Management LLC,2.18%,5751819,637359063,-16807,-0.29%,ALL
"T. Rowe Price Associates, Inc. (I...",2.10%,5540295,613920089,3064105,+123.74%,ALL
American Century Investment Manag...,1.78%,4687226,519391513,-167124,-3.44%,ALL
"Barrow, Hanley, Mewhinney & Strau...",1.65%,4339990,480914292,-688452,-13.69%,ALL
"Invesco Advisers, Inc.",1.32%,3463238,383761403,-91514,-2.57%,ALL
Wellington Management Co. LLP,1.23%,3234064,358366632,484340,+17.61%,ALL
"The Vanguard Group, Inc.",10.59%,24391381,3544799401,316233,+1.31%,AME
BlackRock Fund Advisors,4.64%,10691029,1553727245,286947,+2.76%,AME
"SSgA Funds Management, Inc.",3.88%,8925536,1297148147,36035,+0.41%,AME
Massachusetts Financial Services ...,3.69%,8504856,1236010722,163397,+1.96%,AME
Fidelity Management & Research Co...,2.42%,5572949,809916678,462113,+9.04%,AME
Alecta Pension Insurance Mutual,2.10%,4834365,702578265,0,0.00%,AME
AllianceBernstein LP,2.08%,4797914,697280842,56447,+1.19%,AME
Geode Capital Management LLC,2.01%,4627897,672572271,111754,+2.47%,AME
"JPMorgan Investment Management, I...",1.88%,4321272,628010460,-72600,-1.65%,AME
"T. Rowe Price Associates, Inc. (I...",1.72%,3953131,574508528,3421558,+643.67%,AME
"SSgA Funds Management, Inc.",7.14%,106053111,1206884403,5434922,+5.40%,AMCR
BlackRock Fund Advisors,6.30%,93571353,1064841997,3960390,+4.42%,AMCR
"The Vanguard Group, Inc.",3.48%,51725334,588634301,60911,+0.12%,AMCR
Charles Schwab Investment Managem...,2.07%,30691685,349271375,3033487,+10.97%,AMCR
Geode Capital Management LLC,2.04%,30259707,344355466,286660,+0.96%,AMCR
Invesco Capital Management LLC,1.63%,24251953,275987225,1007682,+4.34%,AMCR
Federated Equity Management Compa...,1.22%,18075679,205701227,205339,+1.15%,AMCR
Polaris Capital Management LLC,1.04%,15422572,175508869,-583200,-3.64%,AMCR
ProShare Advisors LLC,0.98%,14552330,165605515,1817017,+14.27%,AMCR
American Century Investment Manag...,0.92%,13603850,154811813,3984609,+41.42%,AMCR
"The Vanguard Group, Inc.",12.77%,13439830,4119307895,-42623,-0.32%,AMP
BlackRock Fund Advisors,5.88%,6185239,1895775754,211503,+3.54%,AMP
"SSgA Funds Management, Inc.",4.62%,4863238,1490582447,-85640,-1.73%,AMP
Aristotle Capital Management LLC,3.81%,4014289,1230379579,-250209,-5.87%,AMP
"JPMorgan Investment Management, I...",2.77%,2913329,892935339,24347,+0.84%,AMP
Geode Capital Management LLC,2.29%,2405659,737334484,15491,+0.65%,AMP
"Boston Partners Global Investors,...",1.89%,1989463,609770410,-268820,-11.90%,AMP
Viking Global Investors LP,1.57%,1647855,505067558,-156134,-8.65%,AMP
LSV Asset Management,1.32%,1393231,427025302,-329975,-19.15%,AMP
"UBS Financial Services, Inc.",1.20%,1264770,387652005,-84411,-6.26%,AMP
"The Vanguard Group, Inc.",12.73%,59266005,12110415462,663866,+1.13%,AMT
BlackRock Fund Advisors,4.92%,22910768,4681586333,94892,+0.42%,AMT
"SSgA Funds Management, Inc.",4.58%,21317178,4355952153,39509,+0.19%,AMT
Wellington Management Co. LLP,2.84%,13238663,2705188397,1320263,+11.08%,AMT
Cohen & Steers Capital Management...,2.15%,10017130,2046900344,-3417066,-25.44%,AMT
Geode Capital Management LLC,2.06%,9601881,1962048364,199813,+2.13%,AMT
Akre Capital Management LLC,1.50%,6993427,1429036873,20240,+0.29%,AMT
Principal Global Investors LLC,1.45%,6755670,1380453608,814403,+13.71%,AMT
Dimensional Fund Advisors LP,1.33%,6195122,1265911229,-28687,-0.46%,AMT
Fidelity Management & Research Co...,1.31%,6119940,1250548540,-811013,-11.70%,AMT
"The Vanguard Group, Inc.",7.68%,457351119,47441031574,4878488,+1.08%,GOOGL
BlackRock Fund Advisors,4.47%,266421733,27635926364,4625433,+1.77%,GOOGL
"SSgA Funds Management, Inc.",3.64%,216938462,22503026663,-215844,-0.10%,GOOGL
Fidelity Management & Research Co...,3.37%,200619841,20810296107,-18771510,-8.56%,GOOGL
Geode Capital Management LLC,1.97%,117077511,12144450216,1923667,+1.67%,GOOGL
"T. Rowe Price Associates, Inc. (I...",1.91%,113779707,11802369007,-2336359,-2.01%,GOOGL
Norges Bank Investment Management,1.59%,94469711,9799343122,-5478249,-5.48%,GOOGL
Wellington Management Co. LLP,1.20%,71524044,7419189084,7009742,+10.87%,GOOGL
Massachusetts Financial Services ...,1.03%,61598199,6389581182,464138,+0.76%,GOOGL
"Northern Trust Investments, Inc.(...",1.02%,60755900,6302209507,-417348,-0.68%,GOOGL
"The Vanguard Group, Inc.",8.57%,153064335,6829730628,1122694,+0.74%,MO
BlackRock Fund Advisors,5.01%,89449204,3991223482,-10559645,-10.56%,MO
"SSgA Funds Management, Inc.",4.05%,72271378,3224748886,692250,+0.97%,MO
